hash,commit_size,num_test_files
90eeed0bbb741c7692a49abe6c5136beb61c7492,151,0
c29750f3939d93bb2329595430edaadffef329b0,49,0
d129d0a146a86f0b686bf218bf8902a68d8af55e,454,0
48e51f883493c200d4a39a7e6abd6e2bd200cfd8,7,0
740e2e78f48df47368ad963c933c47b83791bd8f,942,2
369106ac197759b44c9abee33bd271c34df445d2,2206,3
71389ec02f0190dde7a89c06bbd00cf383ce1d1b,361,0
d63744435a3bf8e8305ebee1a374e9ca2c84aab0,1916,0
e98497ccf75deccf58e74989e05591b63cb5d84a,293,0
f873d2fe0ad2d2c1a8f749d318e25415077dd8dd,14,0
b9b48a68cdb62852180d0b4ccaf85ca6e045de08,2,0
92916e2479a7be6f93388db10a4fc95e13f2ee22,789,0
a86ae21cfcb53e13c212f9fc3c20873a3acdc5c5,198,1
62bd5bbc58d8851b765dea826cd513131cce7bae,239,0
cf731c07d3c058ee85e257b827e288b31e5a1f79,45,1
830479d28c118a5e3ecd67828eec470b0b78eea2,1211,0
967371ff973604a7b5690667c5dc681219d3b8a0,7,0
ac3526c54fb25ad31596f14349dc4c6198fad37b,89,0
6bace801258b80cab5c9a0a295f1847dee89b1d1,7,0
a49c4338397cd526d9d03e60b0484383853365a9,68,0
4161e22d209e13a7570dee968ce31329897326e9,3,0
ec9206cc0f6066cb8fa0b76666111d0e079404b6,29,0
9e6789a414a8cfb862d186c6d8dad102fdb17e9d,789,3
391f307c9065982f402173d84bdc79bdcc40ed8f,3988,0
4a119589d92c77cca9b406f15991c8f511cb6256,22,1
dd43a6b7f11344545d823705aa8ce14b60f4a5ff,9481,0
e59c4413fc554177d693b187aa3ce895cdb961b5,59,1
eecf56c3e5e0151faf3108b2414ca2908984b421,2473,1
4be4808277a6f116458935119f79777e845a49f8,9481,0
22c2308baee195fed4b77629f36540194812d0a7,1813,0
bfd6e45d0046b4aec777f3af49fbc98b06184ad7,1088,0
fe3038145ce1a61983204c1803876e6f018dbf24,32,0
3a3c2955252584be0b09df0e523b3785cf8ad871,294,0
31dc4dd5453a2db0857073e5b09cd621a821c2e0,421,0
278705c51dd9febf36f74a1b7a777bdb1a7ec44c,2297,0
8ba5aed3af5d466c2ab3c63dde4ebf90051c9f9e,45980,43
3ce437431e4b29e4f74bde394f1886dd727638f5,2718,0
917e7228772e8b0746f2ae500666ea9010990c18,1134,3
45280d6d36c6405fccac8ef1111e5c3a7ec4b2e3,2496,3
3830d2a3a474fbc943a24364dddd79830f592d0d,2,0
b1db004317b3cdc268ecc4cb83b68602a802d0b4,1757,0
532a17c3cd8ed2809e706b19121d36ee14d57d90,12166,12
88ed9fe742f4ba23557bcfcfca2ae20a57b28b5e,35272,9
cb31bdf4ba8f12706e9d9a04a6db0d14f7e85a6f,35272,9
0204ae13500e05d5cd1c25cc3caa7af36d5b92d8,16852,2
bca53e7b9288c1d6084a0a2e8ac89a2d9bc031c3,3,0
a54328652997b63935dee23694889c822851725e,1,0
82f94a305e4bfee184f810359dd65faca9ac27d4,1,0
b831f1ba5daad8a5d4887170c7c823753c65361b,452,0
88710ec6d52976c280d31d051a87feb2427a0d2a,158,1
4f8a02869635bca1fb3848e8477955cbbfa3c709,320,13
0d8c7c3f54fbdbbefe29b72c30f9ea31d584a1dc,2,0
7f2be0273d8cf1274059da96332b8e472efc5bf1,16,0
d8d6706a384be31a57acba77c6067233ac64e358,982,1
7a9755484b2ff4e847e621fca83ec8b2d301b762,1426,0
0a58d324b540b62b0b7eeef75ba10303d3ab6ab7,98,0
f1c2259d573745ac044b3ee93b743a4a29f2a52a,25,0
7b37cb0d6a2f7392b9782fc363e22901e7dc7c7b,191,0
f6884643e1219317f4347c41e887dd6cff955a6f,936,5
652d3c3474aadc8e0fd3a3e4c55494318e2d0aeb,291,1
00135672e3375f78600514aa70ed583f8dbb6422,441,19
7d966fecc6ee4b0d2ce326081986e783929e20fc,2288,0
c2274eb1e80a90ec735298dd270e21ac33dc2b16,7,0
434a0972552d5d5c3467d0cc2e74821aeade82f1,1094,0
95e0679339ab855479dbe6800ea231ab6e2d9598,5,0
405eb20802fc7fdb038f3c93ec88ab27000eb633,766,4
19c43112d411188bf788a50c44bdb1443565a02e,467,13
51d1dccf461de11b067dfbefc3f3f868833a51ac,6,0
836989e8b1063ae05392a253532a1ebd133b8936,108,0
0c57a118bf0efd46168c7e0e6e35dbf16753ab1e,188,0
8a52c33c8d28a6e5b36d23ae0f47676b1226396a,20,0
6be048b8833ef280abdcd9f50223da7885ff5fe1,2,0
8277b64f0b97cd00a7938019e0433360e9a5de93,225,1
6a8080a150aa9a36c192e62ec89043d9a5d37ad5,67,0
f8d0d84e64cf5541b4914d08d3718409a90edc1f,14,0
2f0e6322e913c78219cac09efd5713d09ce32fe6,3,0
5088bcd312e476d0c0e088bc8726026bce971a3e,250,0
7a4dce060ceba0327a0939c2acdaae35cab7e400,125,0
